Nov. 20, 2025   17:06:30,,,
A.C. Impedance,,,,
File: c:\users\desktop\example.csv,,,,
Data Source:  Experiment,,,,
Instrument Model:  CHI760F,,,,
Header: ,,,,
Note: ,,,,
,,,,
Init E (V) = 0.5,,,,
High Frequency (Hz) = 1e+5,,,,
Low Frequency (Hz) = 0.1,,,,
Imp SF,,,,
Amplitude (V) = 0.005,,,,
Quiet Time (sec) = 2,,,,
Cycles (.1-1Hz) = 1,,,,
,,,,
Freq/Hz, Z'/ohm," Z""/ohm", Z/ohm, Phase/deg
,,,,
8.25E+04,2.40E+03,-1.51E+04,1.53E+04,-81
6.81E+04,3.28E+03,-1.91E+04,1.94E+04,-80.3
5.62E+04,4.51E+03,-2.13E+04,2.18E+04,-78.1
4.64E+04,5.58E+03,-2.57E+04,2.63E+04,-77.8
3.83E+04,6.75E+03,-3.00E+04,3.07E+04,-77.3
3.16E+04,8.46E+03,-3.56E+04,3.66E+04,-76.6
2.61E+04,1.10E+04,-4.18E+04,4.32E+04,-75.2
2.15E+04,1.42E+04,-4.95E+04,5.14E+04,-74
1.78E+04,1.72E+04,-5.79E+04,6.04E+04,-73.4
1.47E+04,2.14E+04,-6.69E+04,7.02E+04,-72.3
1.21E+04,2.71E+04,-7.63E+04,8.10E+04,-70.4
9.99E+03,3.49E+04,-8.75E+04,9.42E+04,-68.3
8.18E+03,4.48E+04,-1.01E+05,1.11E+05,-66.1
6.74E+03,5.60E+04,-1.16E+05,1.29E+05,-64.2
5.57E+03,6.81E+04,-1.32E+05,1.48E+05,-62.7
4.59E+03,8.24E+04,-1.49E+05,1.70E+05,-61
3.81E+03,1.00E+05,-1.68E+05,1.95E+05,-59.1
3.13E+03,1.20E+05,-1.88E+05,2.23E+05,-57.3
2.59E+03,1.44E+05,-2.07E+05,2.52E+05,-55.3
2.15E+03,1.72E+05,-2.29E+05,2.86E+05,-53.1
1.76E+03,2.03E+05,-2.52E+05,3.24E+05,-51.1
1.47E+03,2.35E+05,-2.67E+05,3.56E+05,-48.7
1.20E+03,2.70E+05,-2.80E+05,3.89E+05,-46
9.77E+02,3.12E+05,-2.99E+05,4.32E+05,-43.7
8.25E+02,3.58E+05,-3.17E+05,4.78E+05,-41.5
6.81E+02,4.08E+05,-3.31E+05,5.25E+05,-39
5.62E+02,4.59E+05,-3.42E+05,5.72E+05,-36.7
4.64E+02,5.11E+05,-3.51E+05,6.20E+05,-34.5
3.83E+02,5.58E+05,-3.54E+05,6.61E+05,-32.4
3.16E+02,6.01E+05,-3.54E+05,6.97E+05,-30.5
2.61E+02,6.49E+05,-3.51E+05,7.38E+05,-28.4
2.15E+02,6.97E+05,-3.45E+05,7.78E+05,-26.3
1.78E+02,7.45E+05,-3.38E+05,8.18E+05,-24.4
1.47E+02,7.96E+05,-3.29E+05,8.61E+05,-22.4
1.21E+02,8.39E+05,-3.13E+05,8.95E+05,-20.5
1.00E+02,8.71E+05,-3.04E+05,9.23E+05,-19.2
8.25E+01,9.13E+05,-2.99E+05,9.61E+05,-18.1
6.81E+01,9.61E+05,-2.98E+05,1.01E+06,-17.2
5.62E+01,9.91E+05,-2.96E+05,1.04E+06,-16.6
4.64E+01,1.02E+06,-2.87E+05,1.06E+06,-15.8
3.83E+01,1.04E+06,-2.77E+05,1.08E+06,-14.9
3.16E+01,1.07E+06,-2.70E+05,1.11E+06,-14.1
2.61E+01,1.10E+06,-2.70E+05,1.13E+06,-13.8
2.15E+01,1.13E+06,-2.71E+05,1.16E+06,-13.5
1.78E+01,1.16E+06,-2.74E+05,1.19E+06,-13.3
1.47E+01,1.21E+06,-2.85E+05,1.24E+06,-13.2
1.21E+01,1.26E+06,-2.89E+05,1.29E+06,-13
1.00E+01,1.28E+06,-2.90E+05,1.31E+06,-12.8
8.25E+00,1.29E+06,-3.00E+05,1.32E+06,-13.1
6.81E+00,1.30E+06,-3.06E+05,1.34E+06,-13.2
5.62E+00,1.36E+06,-3.08E+05,1.39E+06,-12.8
4.64E+00,1.41E+06,-3.14E+05,1.44E+06,-12.6
3.83E+00,1.42E+06,-4.05E+05,1.48E+06,-15.9
3.16E+00,1.39E+06,-4.35E+05,1.46E+06,-17.3
2.61E+00,1.40E+06,-3.89E+05,1.45E+06,-15.5
2.15E+00,1.48E+06,-3.85E+05,1.53E+06,-14.6
1.78E+00,1.55E+06,-4.18E+05,1.61E+06,-15.1
1.47E+00,1.62E+06,-4.68E+05,1.68E+06,-16.1
1.21E+00,1.68E+06,-4.87E+05,1.75E+06,-16.1
1.00E+00,1.79E+06,-5.27E+05,1.87E+06,-16.4
8.25E-01,1.90E+06,-5.59E+05,1.98E+06,-16.4
6.81E-01,1.98E+06,-5.45E+05,2.06E+06,-15.4
5.62E-01,2.04E+06,-5.29E+05,2.11E+06,-14.5
4.64E-01,2.08E+06,-5.70E+05,2.15E+06,-15.4
3.83E-01,2.12E+06,-6.26E+05,2.21E+06,-16.4
3.16E-01,2.17E+06,-6.64E+05,2.27E+06,-17
2.63E-01,2.25E+06,-7.01E+05,2.35E+06,-17.3
2.14E-01,2.32E+06,-7.37E+05,2.43E+06,-17.6
1.79E-01,2.40E+06,-7.80E+05,2.52E+06,-18
1.47E-01,2.47E+06,-8.31E+05,2.61E+06,-18.6
1.21E-01,2.56E+06,-8.88E+05,2.71E+06,-19.2
1.00E-01,2.64E+06,-9.50E+05,2.80E+06,-19.8